Pays,Année,Female_Death_Per100K,Male_Death_Per100K,Total_Death_Per100K,Nbr_Death
Tunisia,2016,1.2146,0.81112,1.01527,115.7742
Turkey,2016,0.31835,0.27233,0.2957,235.1192
Turkmenistan,2016,3.47729,4.49347,3.97765,225.2361
Uganda,2016,30.39011,32.74029,31.55895,13093.17
Ukraine,2016,0.23232,0.31085,0.26862,119.3717
United Arab Emirates,2016,0.04148,0.0245,0.02912,2.69967
United Kingdom of Great Britain and Northern Ireland,2016,0.24809,0.1449,0.1972,129.7347
United Republic of Tanzania,2016,40.56995,36.18708,38.40323,21341.52
United States of America,2016,0.27202,0.19017,0.23153,745.9761
Uruguay,2016,0.42578,0.28991,0.36017,12.40418
Uzbekistan,2016,0.37074,0.51274,0.44151,138.8398
Vanuatu,2016,8.59053,12.20005,10.41773,28.17007
Venezuela (Bolivarian Republic of),2016,1.36928,1.41152,1.3903,438.8923
Viet Nam,2016,1.13807,2.11376,1.6208,1532.777
Yemen,2016,11.77016,8.66892,10.20328,2814.495
Zambia,2016,33.23213,36.61913,34.91273,5792.504
Zimbabwe,2016,22.16388,27.06688,24.55074,3965.033
